"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
","NAV 
 19-May-2022","52W H 
","52W L 
","365 D 
","365 D % CHNG 
","30 D 
","30 D % CHNG 
"
ICICIAUTO,Nifty Auto Index,109.4,111.89,109.4,109.04,111.8,2.76,2.53,17111,"19,07,534.28",109.39,124.4,92.9,-,-,22 Apr 22,-1.13
ICICIMCAP,S&P BSE Midcap Select Index,94.94,95.45,92.35,93.21,95.44,2.23,2.39,12930,"12,26,539.80",93.16,117.95,82.99,21 May 21,6.1,22 Apr 22,-10.59
AXISTECETF,NIFTY IT Index,287,297.9,287,292.13,297.9,5.77,1.98,1556,"4,58,055.28",292.4,437.1,253.3,21 May 21,12.56,22 Apr 22,-11.99
ICICI500,S&P BSE 500 index,24.4,24.4,22.9,23.06,23.48,0.42,1.82,8200,"1,90,568.00",23.04,29.95,20.9,21 May 21,-89.11,22 Apr 22,-6.98
SBIETFPB,Nifty Private Bank Index,172,177,172,174,177,3,1.72,1072,"1,88,650.56",174.54,222,163.75,21 May 21,-4.37,22 Apr 22,-4.94
UTISENSETF,SENSEX,574,578.44,563,568.83,578.29,9.46,1.66,702,"4,04,976.78",571.33,737.55,487.5,21 May 21,8.78,22 Apr 22,-5.58
UTIBANKETF,Nifty Bank,34.78,34.78,34.01,34.21,34.77,0.56,1.64,9887,"3,41,793.59",34.42,45,31.99,21 May 21,-0.52,22 Apr 22,-5.31
ICICIALPLV,Nifty Alpha Low-Volatility 30 Index,159.79,160.31,157.85,157.85,160.29,2.44,1.55,1977,"3,14,936.10",157.47,197.6,147.01,21 May 21,5.1,22 Apr 22,-7.1
UTISXN50,BSE Sensex Next 50,46,47.7,45.85,46.77,47.49,0.72,1.54,381,"18,013.68",47.12,59,40.19,21 May 21,9.4,22 Apr 22,-11.08
HDFCSENETF,SENSEX,587.98,590.9,581.5,581.83,590.78,8.95,1.54,2967,"17,41,421.31",584.91,704.92,487.4,21 May 21,8.92,22 Apr 22,-5.87
ICICICONSU,Nifty India Consumption Index,70.7,70.7,67.2,68,69,1,1.47,401,"27,304.09",67.99,82.25,57.01,-,-,22 Apr 22,-4.02
SHARIABEES,Shariah,409.98,409.98,395.8,398.8,404.62,5.82,1.46,1333,"5,36,465.85",398.47,520,366.95,21 May 21,6.63,22 Apr 22,-5.53
MAFSETF,Nifty Financial Services Index,16,16.05,15.82,15.81,16.04,0.23,1.45,65676,"10,46,875.44",15.83,21,15.04,-,-,22 Apr 22,-5.33
ICICITECH,Nifty IT Index,299,308.3,293.64,294.42,298.56,4.14,1.41,25699,"76,42,368.62",294.27,419.7,260.05,21 May 21,11.8,22 Apr 22,-11.24
ICICIBANKP,Nifty Private Bank Index,173,175.1,173,172.67,175.1,2.43,1.41,752,"1,30,855.52",172.2,227.7,161.6,21 May 21,-4.01,22 Apr 22,-4.58
KOTAKBKETF,Nifty Bank,370.89,370.89,340.03,346.21,350.77,4.56,1.32,3136,"10,94,526.72",346.78,429.7,298.9,21 May 21,-0.55,22 Apr 22,-4.69
ICICIBANKN,Nifty Bank,354.7,354.7,342.71,341.91,346.16,4.25,1.24,2372,"8,18,790.68",342.29,449.7,312.5,21 May 21,-0.42,22 Apr 22,-4.82
SBIETFIT,Nifty IT Index,300,301.35,289.15,295.35,299,3.65,1.24,10352,"30,60,775.84",294.61,428.7,260,21 May 21,12,22 Apr 22,-11.03
UTINIFTETF,Nifty 50,"1,732.10","1,732.40","1,708.30","1,710.73","1,731.80",21.07,1.23,5722,"98,15,347.14","1,715.18","2,240.00","1,543.60",21 May 21,8.54,22 Apr 22,-5.73
SBIETFQLTY,Nifty 200 Quality 30 Index,144.9,144.9,140.56,141.76,143.5,1.74,1.23,2212,"3,13,971.28",141.96,164.98,126.99,21 May 21,8.95,22 Apr 22,-5.02
PSUBNKBEES,Nifty PSU Bank,27.02,27.99,26.9,27.02,27.35,0.33,1.22,313681,"86,13,680.26",27.08,35.8,24.07,21 May 21,5.92,22 Apr 22,-11
AXISBNKETF,Nifty Bank,347.98,348.5,342.43,344.16,348.3,4.14,1.2,621,"2,14,549.29",344.51,449.4,323.5,21 May 21,-0.42,22 Apr 22,-4.55
MOM100,Nifty Midcap 100,29.84,29.9,29.17,29.36,29.7,0.34,1.16,54534,"16,18,569.12",29.42,36.65,26.3,-,-,22 Apr 22,-8.11
BSLSENETFG,BSE SENSEX Index,54.99,54.99,51,51.75,52.35,0.6,1.16,1031,"53,869.75",52,664.99,43.65,-,-,22 Apr 22,-5.44
KOTAKIT,NIFTY IT Index,29.5,29.79,29.02,29.31,29.65,0.34,1.16,42405,"12,52,643.70",29.22,46,24,21 May 21,12,22 Apr 22,-10.64
BANKBEES,Nifty Bank,346.75,350,345.45,345.28,349,3.72,1.08,363924,"12,67,36,533.00",345.81,434.88,324.5,21 May 21,-0.58,22 Apr 22,-4.98
SETFNIFBK,Nifty Bank,342.99,347.48,342.5,342.13,345.78,3.65,1.07,282725,"9,75,45,779.50",342.92,420,316.2,21 May 21,-0.58,22 Apr 22,-4.96
SBIETFCON,Nifty India Consumption Index,67,69,66.7,68.03,68.75,0.72,1.06,1315,"89,906.55",67.97,77.31,58.55,-,-,22 Apr 22,-3.82
UTINEXT50,Nifty Next 50,41.08,41.08,40.01,40.32,40.73,0.41,1.02,10128,"4,10,082.72",40.4,49.5,37.63,21 May 21,4.21,22 Apr 22,-10.2
HEALTHY,Nifty Healthcare TRI,8.06,8.2,7.9,7.99,8.07,0.08,1,31315,"2,49,893.70",8.01,10.41,7,-,-,22 Apr 22,-6.44
ICICIM150,Nifty Midcap 150,106.9,107,105.06,105.79,106.85,1.06,1,3481,"3,71,875.23",105.94,132.7,95.15,21 May 21,9.66,22 Apr 22,-8.26
ICICISENSX,SENSEX,597.96,599.3,592,590.13,595.91,5.78,0.98,903,"5,39,163.24",592.14,700,534,21 May 21,9.15,22 Apr 22,-5.56
ICICINF100,Nifty 100,180.96,180.96,177.8,178.98,180.73,1.75,0.98,3111,"5,59,420.02",178.84,208,143.4,21 May 21,8.56,22 Apr 22,-6.06
KOTAKPSUBK,Nifty PSU Bank,246.98,247.9,240.05,243.23,245.55,2.32,0.95,17376,"42,87,180.48",242.67,305.9,217.05,21 May 21,6.77,22 Apr 22,-11.06
HBANKETF,Nifty Bank,348.75,348.75,335.63,341.9,345.13,3.23,0.94,909,"3,12,914.16",343.78,419.95,305.9,21 May 21,0.03,22 Apr 22,-5.2
QNIFTY,Nifty 50,"1,726.25","1,726.25","1,700.00","1,704.00","1,720.00",16,0.94,159,"2,72,277.96","1,705.82","2,268.99","1,529.67",21 May 21,9.23,22 Apr 22,-5.33
ICICIPHARM,Nifty Healthcare Index,81.98,81.98,79.94,80.75,81.5,0.75,0.93,1377,"1,11,716.01",80.19,105,71.99,-,-,22 Apr 22,-5.97
KOTAKNV20,Nifty50 Value 20,92.8,93.47,92,92.16,93,0.84,0.91,12070,"11,17,923.40",92.35,106.8,79.8,21 May 21,13.15,22 Apr 22,-4.79
INFRABEES,Nifty Infra,505,506.53,496.1,500.66,505,4.34,0.87,486,"2,45,250.18",501.87,590.2,396.6,21 May 21,14.87,22 Apr 22,-7.35
LICNETFSEN,SENSEX,586,595,581.5,581.04,586,4.96,0.85,358,"2,09,569.62",583.69,677.4,523.99,21 May 21,4.49,22 Apr 22,-5.69
TECH,Nifty IT TRI Index,29.93,29.93,28.76,28.94,29.18,0.24,0.83,2011,"58,640.76",28.85,43.75,27.8,-,-,22 Apr 22,-11.44
MOM50,Nifty 50,165.98,165.98,161.11,162,163.26,1.26,0.78,983,"1,59,993.08",162.02,194,143.45,-,-,22 Apr 22,-5.43
KOTAKALPHA,NIFTY Alpha 50 Index,29.6,29.98,29.1,29.32,29.55,0.23,0.78,130352,"38,34,955.84",29.16,41,27.5,-,-,22 Apr 22,-15.5
