SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,CAMS,Computer Age Mngt Ser Ltd,24/06/2022, , ,23/06/2022, , ,DIV - RS 12 PER SH       
BE,KENNAMET,Kennametal India Limited,25/05/2022, , ,24/05/2022, , ,INT DIV - RS 24 PER SH   
BE,IMAGICAA,Imagicaaworld Ent Ltd, ,04/06/2022,10/06/2022,02/06/2022, , ,EGM                      
BE,SONACOMS,Sona BLW Precision Frgs L,30/06/2022, , ,29/06/2022, , ,DIV - RS 0.77 PER SH     
BE,DRCSYSTEMS,DRC Systems India Limited, ,22/06/2022,29/06/2022,20/06/2022, , ,ANNUAL GENERAL MEETING   
BE,ANGELONE,Angel One Limited,24/05/2022, , ,23/05/2022, , ,AGM/DIV - RS 2.25 PER SH 
BE,DOLATALGO,Dolat Algotech Limited,24/05/2022, , ,23/05/2022, , ,INT DIV - RS 0.25 PER SH 
BE,DEVYANI,Devyani International Ltd, ,21/06/2022,28/06/2022,17/06/2022, , ,ANNUAL GENERAL MEETING   
BE,DODLA,Dodla Dairy Limited, ,23/06/2022,30/06/2022,21/06/2022, , ,ANNUAL GENERAL MEETING   
BE,CRAFTSMAN,Craftsman Automation Ltd, ,11/06/2022,17/06/2022,09/06/2022, , ,DIV - RS 3.75 PER SH     
BE,ASIANPAINT,Asian Paints Limited,10/06/2022, , ,09/06/2022, , ,DIV - RS 15.50 PER SH    
BE,BOMDYEING,BOMBAY DYEING & MFG. CO L, ,23/06/2022,29/06/2022,21/06/2022, , ,ANNUAL GENERAL MEETING   
BE,SBIN,STATE BANK OF INDIA, ,27/05/2022,31/05/2022,25/05/2022, , ,DIV - RS 7.10 PER SH     
BE,TATACHEM,TATA CHEMICALS LTD, ,17/06/2022,22/06/2022,15/06/2022, , ,AGM/DIV - RS 12.5 PER SH 
BE,HDFC,HDFC LTD - DEPO SETT.,01/06/2022, , ,31/05/2022, , ,DIV - RS 30 PER SH       
BE,RALLIS,Rallis India Ltd., ,08/06/2022,13/06/2022,06/06/2022, , ,AGM/DIV - RS 3 PER SH    
BE,GHCL,GHCL Limited,23/06/2022, , ,22/06/2022, , ,AGM/DIV-RS10/SPLDIV-RS 5 
BE,SUPREMEIND,SUPREME INDUSTRIES LTD, ,23/06/2022,29/06/2022,21/06/2022, , ,AGM/DIV - RS 18 PER SH   
BE,BRITANNIA,BRITANNIA INDUSTRIES LTD, ,22/06/2022,28/06/2022,20/06/2022, , ,AGM/DIV-RS 56.5 PER SH   
BE,ITC,ITC LTD,28/05/2022, , ,26/05/2022, , ,DIV - RS 6.25 PER SH     
BE,VOLTAS,VOLTAS LTD, ,11/06/2022,24/06/2022,09/06/2022, , ,AGM/DIV - RS 5.50 PER SH 
BE,TATAPOWER,TATA POWER LTD, ,17/06/2022,07/07/2022,15/06/2022, , ,DIV - RS 1.75 PER SH     
BE,SRTRANSFIN,Shriram Trans Fin Co. Ltd, ,17/06/2022,23/06/2022,15/06/2022, , ,ANNUAL GENERAL MEETING   
BE,HAVELLS,Havells India Limited, ,16/06/2022,21/06/2022,14/06/2022, , ,AGM/DIV - RS 4.50 PER SH 
BE,GMBREW,GM Breweries Ltd., ,18/05/2022,24/05/2022,13/05/2022, , ,AGM/DIV - RS 5 PR SH     
BE,VISAKAIND,Visaka Industries Ltd., ,30/05/2022,03/06/2022,26/05/2022, , ,AGM/DIV - RS 8 PER SH    
BE,ASAL,Automotive Stampings and, ,03/06/2022,09/06/2022,01/06/2022, , ,ANNUAL GENERAL MEETING   
BE,DWARKESH,Dwarikesh Sugar Ind. Ltd., ,24/06/2022,30/06/2022,22/06/2022, , ,ANNUAL GENERAL MEETING   
BE,TIPSINDLTD,Tips Industries Limited,21/05/2022, , ,19/05/2022, , ,DEMERGER                 
BE,TRENT,Trent Limited - Depo,23/05/2022, , ,20/05/2022, , ,DIV- RS 1.1 PER SHARE    
BE,TCS,TATA CONSULTANCY SERV LTD,26/05/2022, , ,25/05/2022, , ,DIV - RS 22 PER SH       
BE,TIMESGTY,Times Guaranty Limited, ,17/06/2022,23/06/2022,15/06/2022, , ,ANNUAL GENERAL MEETING   
BE,SKFINDIA,SKF India Limited,29/06/2022, , ,28/06/2022, , ,AGM/DIV - RS 14.50 PR SH 
BE,KANSAINER,Kansai Nerolac Paints Ltd, ,10/06/2022,23/06/2022,08/06/2022, , ,AGM/DIV-RE 1 PER SH      
BE,TATASTEEL,Tata Steel Limited, ,17/06/2022,28/06/2022,15/06/2022, , ,AGM/DIV - RS 51 PER SH   
BE,BEPL,Bhansal Engg PolyLtd-Depo,22/06/2022, , ,21/06/2022, , ,AGM/DIV - RE 1 PER SH    
BE,TATACOFFEE,Tata Coffee Limited, ,04/06/2022,13/06/2022,02/06/2022, , ,AGM/DIV - RS 2 PER SH    
BE,GANGOTRI,Gangotri Textiles Limited, ,23/06/2022,29/06/2022,22/06/2022, , ,ANNUAL GENERAL MEETING   
BE,KKCL,Kewal Kiran Clothing Limi,23/05/2022, , ,20/05/2022, , ,INTDIV - RS 5 PER SH     
BE,TATAINVEST,Tata Inv. Corpn Ltd., ,04/06/2022,10/06/2022,02/06/2022, , ,AGM/DIV - RS PER 55 SH   
BE,RSYSTEMS,R Systems International L, ,16/06/2022,20/06/2022,14/06/2022, , ,ANNUAL GENERAL MEETING   
BE,PAGEIND,Page Industries Limited,03/06/2022, , ,02/06/2022, , ,INTERIM DIVIDEND         
BE,HINDUNILVR,Hindustan Unilever Ltd, ,17/06/2022,23/06/2022,15/06/2022, , ,AGM/DIV - RS 19 PER SH   
BE,BALAMINES,Balaji Amines Limited, ,23/06/2022,29/06/2022,21/06/2022, , ,AGM/DIV - RS 6 PER SH    
BE,MOTILALOFS,Motilal Oswal Financial S,27/05/2022, , ,26/05/2022, , ,BUYBACK                  
BE,CERA,Cera Sanitaryware Limited, ,15/06/2022,22/06/2022,13/06/2022, , ,AGM/DIV-20 SPLDIV-15     
BE,APCOTEXIND,Apcotex Industries Ltd., ,08/06/2022,13/06/2022,06/06/2022, , ,AGM/DIV - RS 3 PER SH    
BE,INDIANB,Indian Bank, ,16/06/2022,22/06/2022,14/06/2022, , ,AGM/DIV - RS 6.50 PER SH 
BE,TANTIACONS,Tantia Constructions Limi, ,25/05/2022,31/05/2022,23/05/2022, , ,ANNUAL GENERAL MEETING   
BE,JSWENERGY,JSW Energy Limited, ,01/06/2022,03/06/2022,30/05/2022, , ,DIV - RS 2 PER SH        
BE,WELSPUNIND,Equity shares, ,27/06/2022,28/06/2022,23/06/2022, , ,AGM/DIV - RS 0.15 PER SH 
BE,SOLARINDS,Solar Industries (I) Ltd, ,31/05/2022,10/06/2022,27/05/2022, , ,AGM/DIV - RS 7.50 PER SH 
BE,MANAPPURAM,Manappuram Finance Ltd,30/05/2022, , ,27/05/2022, , ,INT DIV - RS 0.75 PER SH 
BE,BLISSGVS,Bliss GVS Pharma Ltd, ,22/06/2022,28/06/2022,20/06/2022, , ,AGM/DIV - RS 0.50 PER SH 
BE,INFY,Infosys Limited,01/06/2022, , ,31/05/2022, , ,AGM/DIV - RS 16 PER SH   
BE,TCIDEVELOP,TCI Developers Limited, ,28/05/2022,02/06/2022,26/05/2022, , ,ANNUAL GENERAL MEETING   
BE,LALPATHLAB,Dr. Lal Path Labs Ltd.,23/06/2022, , ,22/06/2022, , ,AGM/DIV - RS 6 PER SH    
BE,KOKUYOCMLN,Kokuyo Camlin Limited, ,25/06/2022,29/06/2022,23/06/2022, , ,ANNUAL GENERAL MEETING   
BE,LINDEINDIA,BOC India Limited, ,03/06/2022,23/06/2022,01/06/2022, , ,AGM/DIVRS3.5/SPLDIVRS10  
BE,CASTROLIND,Castrol India Limited, ,04/06/2022,08/06/2022,02/06/2022, , ,DIV - RS 3 PER SH        
BE,CYIENT,Cyient Limited, ,25/05/2022,03/06/2022,23/05/2022, , ,AGM/DIV - RS 14 PER SH   
BE,CAPLIPOINT,Caplin Point Lab Ltd.,24/05/2022, , ,23/05/2022, , ,INTDIV - RS 2 PER SH     
BE,CANBK,Canara Bank,16/06/2022, , ,15/06/2022, , ,DIV - RS 6.5 PER SH      
BE,CANBK,Canara Bank, ,17/06/2022,23/06/2022,15/06/2022, , ,ANNUAL GENERAL MEETING   
BE,PNB,Punjab National Bank, ,24/06/2022,30/06/2022,22/06/2022, , ,AGM/DIV - RS 0.64 PER SH 
BE,HDFCLIFE,HDFC Life Ins Co Ltd,01/06/2022, , ,31/05/2022, , ,DIV - RS 1.70 PER SH     
