GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,DR. REDDY S LABORATORIES,      4249.10,      3929.45,8.13
G,RELIANCE INDUSTRIES LTD,      2624.45,      2479.85,5.83
G,JSW STEEL LIMITED,       631.10,       600.20,5.15
G,TATA MOTORS LIMITED,       418.00,       398.65,4.85
G,NESTLE INDIA LIMITED,     16862.00,     16094.25,4.77
G,ADANI PORT & SEZ LTD,       767.55,       732.80,4.74
G,TATA STEEL LIMITED,      1170.60,      1122.15,4.32
G,CIPLA LTD,       978.40,       938.00,4.31
G,LARSEN & TOUBRO LTD.,      1610.10,      1547.95,4.01
G,BRITANNIA INDUSTRIES LTD,      3450.25,      3332.05,3.55
G,AXIS BANK LIMITED,       673.10,       650.20,3.52
G,SUN PHARMACEUTICAL IND L,       915.65,       884.60,3.51
G,INDUSIND BANK LIMITED,       896.50,       866.25,3.49
G,STATE BANK OF INDIA,       462.40,       447.50,3.33
G,HDFC LTD,      2201.60,      2136.30,3.06
G,HDFC LIFE INS CO LTD,       544.70,       528.70,3.03
G,HERO MOTOCORP LIMITED,      2590.15,      2515.50,2.97
G,HINDALCO  INDUSTRIES  LTD,       429.10,       417.00,2.9
G,ICICI BANK LTD.,       709.55,       690.30,2.79
G,HINDUSTAN UNILEVER LTD.,      2325.95,      2264.55,2.71
G,HDFC BANK LTD,      1320.95,      1287.05,2.63
G,COAL INDIA LTD,       185.95,       181.20,2.62
G,KOTAK MAHINDRA BANK LTD,      1829.15,      1783.40,2.57
G,TATA CONSUMER PRODUCT LTD,       739.60,       721.30,2.54
G,DIVI S LABORATORIES LTD,      4304.80,      4199.20,2.51
G,MARUTI SUZUKI INDIA LTD.,      7586.60,      7404.55,2.46
G,BAJAJ AUTO LIMITED,      3787.80,      3698.55,2.41
G,MAHINDRA & MAHINDRA LTD,       903.80,       882.55,2.41
G,EICHER MOTORS LTD,      2707.80,      2650.50,2.16
G,GRASIM INDUSTRIES LTD,      1488.35,      1457.80,2.1
 , , , , 
L,SHREE CEMENT LIMITED,     22001.20,     22216.35,-0.97
L,UPL LIMITED,       808.25,       814.00,-0.71
L,INDIAN OIL CORP LTD,       116.95,       117.25,-0.26
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,AUROBINDO PHARMA LTD,       557.95,       522.85,6.71
G,BOSCH LIMITED,     14175.15,     13393.65,5.83
G,BIOCON LIMITED.,       340.00,       322.50,5.43
G,ADANI ENTERPRISES LIMITED,      2219.55,      2114.75,4.96
G,NMDC LTD.,       146.45,       140.10,4.53
G,INDRAPRASTHA GAS LTD,       381.30,       365.85,4.22
G,INDUS TOWERS LIMITED,       201.85,       193.80,4.15
G,PETRONET LNG LIMITED,       227.95,       219.65,3.78
G,YES BANK LIMITED,        13.95,        13.45,3.72
G,VEDANTA LIMITED,       314.40,       303.55,3.57
G,MARICO LIMITED,       528.55,       510.50,3.54
G,DLF LIMITED,       331.50,       320.60,3.4
G,SIEMENS LTD,      2372.30,      2294.60,3.39
G,ICICI PRU LIFE INS CO LTD,       513.50,       498.10,3.09
G,ALKEM LABORATORIES LTD.,      3002.70,      2917.10,2.93
G,TORRENT PHARMACEUTICALS L,      2664.70,      2592.30,2.79
G,INFO EDGE (I) LTD,      3489.90,      3402.05,2.58
G,PUNJAB NATIONAL BANK,        29.95,        29.20,2.57
G,SBI CARDS & PAY SER LTD,       741.40,       724.10,2.39
G,BAJAJ HOLDINGS & INVS LTD,      4922.80,      4810.25,2.34
G,DABUR INDIA LTD,       503.35,       492.10,2.29
G,HINDUSTAN PETROLEUM CORP,       243.95,       239.00,2.07
G,GAIL (INDIA) LTD,       156.30,       153.75,1.66
G,P&G HYGIENE & HEALTH CARE,     13177.20,     12985.90,1.47
G,COLGATE PALMOLIVE LTD.,      1586.90,      1564.60,1.43
G,L&T INFOTECH LIMITED,      4043.50,      3991.85,1.29
G,UNITED BREWERIES LTD,      1476.75,      1458.60,1.24
G,JUBILANT FOODWORKS LTD,       487.55,       481.70,1.21
G,PIRAMAL ENTERPRISES LTD,      1916.35,      1894.05,1.18
G,HAVELLS INDIA LIMITED,      1229.35,      1215.05,1.18
 , , , , 
L,GODREJ CONSUMER PRODUCTS,       758.40,       795.60,-4.68
L,GLAND PHARMA LIMITED,      3065.70,      3099.50,-1.09
L,ABBOTT INDIA LIMITED,     17950.45,     18129.30,-0.99
L,AMBUJA CEMENTS LTD,       363.00,       364.00,-0.27
L,MUTHOOT FINANCE LIMITED,      1159.85,      1160.60,-0.06
 , , , , 
 ,OTHER SECURITIES, , , 
 , , , , 
