MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     15809.40,     16043.80,     16283.05,     16003.85,     16266.15,530048960134.60,2034603474,Y, ,18641582,     18604.45,     15374.00
Y, , ,NIFTY50 EQL Wgt,     18044.05,     18336.05,     18527.95,     18291.25,     18509.70,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     18687.40,     18980.60,     19098.70,     18952.10,     19085.15,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     12096.80,     12256.20,     12406.75,     12222.15,     12395.20,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     29591.65,     30086.55,     30277.05,     29754.15,     29946.80,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     10251.80,     10403.70,     10469.90,     10394.45,     10460.55,0,0,Y, ,0,     12338.50,      9647.05
Y, , ,NIFTY SMLCAP 50,      4065.15,      4133.50,      4165.55,      4111.70,      4157.60,0,0,Y, ,0,      5889.45,      3945.85
Y, , ,NIFTY SMLCAP 250,      8473.60,      8598.80,      8666.15,      8574.60,      8654.55,0,0,Y, ,0,     10524.55,      7938.70
Y, , ,NIFTY MIDSML 400,      9611.75,      9754.05,      9819.05,      9739.60,      9810.45,0,0,Y, ,0,     11554.15,      9034.55
Y, , ,NIFTY200 QUALTY30,     13348.40,     13520.75,     13663.75,     13497.55,     13646.15,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     15157.85,     15356.15,     15535.55,     15307.60,     15503.70,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     15204.25,     15407.10,     15560.35,     15366.40,     15534.80,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     17196.05,     17530.80,     17599.95,     17452.00,     17567.35,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2657.75,      2699.80,      2730.45,      2691.35,      2727.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      3143.75,      3194.45,      3213.60,      3186.50,      3209.90,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY M150 QLTY50,     15282.15,     15481.35,     15548.50,     15433.55,     15504.05,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY INDIA MFG,      7421.50,      7545.80,      7632.35,      7537.90,      7626.95,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     28352.15,     28884.75,     28897.45,     28577.65,     28789.40,0,0,Y, ,0,     39446.70,     26737.15
Y, , ,Nifty Next 50,     38000.00,     38611.95,     38654.70,     38404.15,     38569.15,0,0,Y, ,0,     45290.80,     37321.35
Y, , ,Nifty Bank,     33315.65,     33765.15,     34358.05,     33658.05,     34276.40,0,0,Y, ,0,     41829.60,     32155.35
Y, , ,NIFTY MIDCAP 100,     27271.90,     27712.75,     27899.05,     27688.25,     27872.20,0,0,Y, ,0,     33243.50,     25583.60
Y, , ,Nifty 500,     13550.90,     13755.05,     13906.40,     13733.55,     13895.05,0,0,Y, ,0,     16004.45,     13080.65
Y, , ,Nifty 100,     16047.35,     16290.20,     16491.10,     16253.55,     16476.70,0,0,Y, ,0,     18870.70,     15600.60
Y, , ,Nifty Midcap 50,      7422.75,      7540.10,      7600.00,      7535.30,      7591.60,0,0,Y, ,0,      9196.75,      7116.05
Y, , ,Nifty Realty,       384.85,       391.00,       401.85,       390.25,       401.05,0,0,Y, ,0,       560.90,       330.75
Y, , ,Nifty Infra,      4700.70,      4772.60,      4837.25,      4759.70,      4828.95,0,0,Y, ,0,      5362.80,      4245.75
Y, , ,Nifty Energy,     25839.75,     26285.80,     26517.95,     26110.70,     26433.50,0,0,Y, ,0,     29304.05,     18803.30
Y, , ,Nifty FMCG,     37740.45,     38055.05,     38699.15,     37989.20,     38546.35,0,0,Y, ,0,     42021.45,     33407.55
Y, , ,Nifty MNC,     17378.65,     17637.50,     17798.85,     17615.65,     17772.10,0,0,Y, ,0,     20129.85,     16749.55
Y, , ,Nifty Pharma,     12600.85,     12718.80,     13089.40,     12707.95,     13065.50,0,0,Y, ,0,     14938.25,     12290.90
Y, , ,Nifty PSE,      4034.30,      4094.95,      4116.20,      4057.90,      4090.40,0,0,Y, ,0,      4517.15,      3423.50
Y, , ,Nifty PSU Bank,      2416.75,      2459.85,      2494.90,      2456.50,      2489.65,0,0,Y, ,0,      3133.50,      2204.70
Y, , ,Nifty Serv Sector,     21302.35,     21645.50,     21803.65,     21571.10,     21761.55,0,0,Y, ,0,     25822.85,     21225.30
Y, , ,India VIX,24.5575,24.5575,24.5575,22.4425,23.1000,0,0,Y, ,0,33.9725,9.0250
Y, , ,Nifty Auto,     10618.00,     10816.75,     10970.25,     10780.45,     10914.60,0,0,Y, ,0,     12139.75,      9226.95
Y, , ,Nifty Metal,      5476.25,      5649.95,      5716.10,      5606.30,      5706.35,0,0,Y, ,0,      6825.65,      4858.80
Y, , ,Nifty Media,      1931.75,      1969.95,      2024.00,      1966.25,      2018.15,0,0,Y, ,0,      2494.55,      1569.35
Y, , ,NIFTY SMLCAP 100,      8912.30,      9060.20,      9148.15,      9030.90,      9136.10,0,0,Y, ,0,     12047.45,      8625.45
Y, , ,Nifty 200,      8378.35,      8506.30,      8604.30,      8490.20,      8597.10,0,0,Y, ,0,      9895.10,      8109.10
Y, , ,Nifty Div Opps 50,      3442.70,      3494.40,      3524.30,      3489.65,      3520.05,0,0,Y, ,0,      3971.00,      3205.90
Y, , ,Nifty Commodities,      5552.65,      5665.15,      5679.55,      5602.30,      5662.50,0,0,Y, ,0,      6458.45,      5012.40
Y, , ,Nifty Consumption,      6640.25,      6732.15,      6799.80,      6716.20,      6779.15,0,0,Y, ,0,      7653.45,      6148.45
Y, , ,Nifty Fin Service,     15397.90,     15600.50,     15827.30,     15548.05,     15793.60,0,0,Y, ,0,     19778.95,     15042.45
Y, , ,Nifty50 Div Point,        22.29,        22.29,        22.29,        22.29,        22.29,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100 Liq 15,      4054.05,      4127.85,      4183.90,      4113.85,      4178.60,0,0,Y, ,0,      4790.10,      3873.35
Y, , ,Nifty CPSE,      2570.55,      2609.65,      2623.00,      2587.15,      2610.90,0,0,Y, ,0,      2827.75,      1926.70
Y, , ,Nifty GrowSect 15,      7554.35,      7635.75,      7770.65,      7611.70,      7753.40,0,0,Y, ,0,      8301.15,      6822.30
Y, , ,Nifty50 PR 2x Lev,      7102.50,      7312.30,      7526.70,      7277.30,      7512.10,0,0,Y, ,0,     30892.40,      4632.70
Y, , ,Nifty50 PR 1x Inv,       279.70,       275.60,       276.30,       271.40,       271.65,0,0,Y, ,0,     30892.40,       238.00
Y, , ,Nifty50 TR 2x Lev,      9727.25,     10014.65,     10308.25,      9966.70,     10288.30,0,0,Y, ,0,     30892.40,      4632.70
Y, , ,Nifty50 TR 1x Inv,       239.15,       235.65,       236.25,       232.05,       232.30,0,0,Y, ,0,     30892.40,       204.60
Y, , ,Nifty50 Value 20,      8282.30,      8406.00,      8467.60,      8395.40,      8451.85,0,0,Y, ,0,      9602.50,      7738.35
Y, , ,Nifty Mid Liq 15,      6724.70,      6856.10,      6916.30,      6838.15,      6899.35,0,0,Y, ,0,      7961.85,      5867.90
Y, , ,Nifty Pvt Bank,     16947.45,     17190.00,     17444.05,     17135.20,     17410.50,0,0,Y, ,0,     21719.30,     16317.45
Y, , ,NIFTY100 Qualty30,      3531.35,      3575.15,      3612.10,      3568.70,      3607.35,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 8 13Yr,      2229.40,      2229.83,      2229.83,      2225.32,      2226.14,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr,      1985.71,      1986.09,      1986.09,      1980.55,      1981.37,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr Cln,       867.37,       867.37,       867.37,       864.90,       865.26,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 4 8Yr,      2444.18,      2444.63,      2444.63,      2441.34,      2441.69,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 11 15Yr,      2411.42,      2411.89,      2411.89,      2403.87,      2403.87,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 15YrPlus,      2598.74,      2599.27,      2599.27,      2592.40,      2592.40,0,0,Y, ,0,          .00,          .00
