SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
RELIANCE INDUSTRIES LTD,      2479.85,      2624.45,10057508,              25840801772.20
INFOSYS LIMITED,      1427.15,      1455.15,10488908,              15279529309.85
DR. REDDY S LABORATORIES,      3929.45,      4249.10,2480315,              10430283351.45
TATA CONSULTANCY SERV LT,      3261.95,      3293.00,3065125,              10087497473.50
TATA MOTORS LIMITED,       398.65,       418.00,23504236,               9813166936.75
RUCHI SOYA INDUSTRIES LTD,      1168.65,      1217.70,7679272,               9379180524.05
HDFC BANK LTD,      1287.05,      1320.95,6959675,               9130982889.25
ITC LTD,       275.65,       280.00,32370771,               9071060236.55
HDFC LTD,      2136.30,      2201.60,3954167,               8661459537.80
ICICI BANK LTD.,       690.30,       709.55,11695528,               8250382525.50
TATA STEEL LIMITED,      1122.15,      1170.60,6552750,               7606442066.55
WELSPUN CORP LIMITED,       208.90,       244.90,29945638,               7127436211.85
ADANI POWER LTD,       297.40,       312.25,22456814,               6964374113.00
AXIS BANK LIMITED,       650.20,       673.10,9708672,               6497229078.35
TATA ELXSI LIMITED,      8261.50,      8412.40,750432,               6400369019.40
BAJAJ FINANCE LIMITED,      5707.00,      5769.60,1098610,               6342120398.40
STATE BANK OF INDIA,       447.50,       462.40,13596860,               6263239735.25
ASHOK LEYLAND LTD,       122.90,       130.35,48165817,               6228698708.20
HINDUSTAN UNILEVER LTD.,      2264.55,      2325.95,2599505,               6055678265.10
LIFE INSURA CORP OF INDIA,       840.85,       826.15,7078291,               5920581592.75
MARUTI SUZUKI INDIA LTD.,      7404.55,      7586.60,742204,               5632165612.75
JK LAKSHMI CEMENT LTD,       421.55,       493.75,11527164,               5509257197.85
KOTAK MAHINDRA BANK LTD,      1783.40,      1829.15,2649672,               4836144946.75
TATA POWER CO LTD,       228.45,       233.25,18294157,               4266250703.05
HINDALCO  INDUSTRIES  LTD,       417.00,       429.10,9703961,               4151105765.40

