SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,H
A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,H
AARVI,EQ,AARVI ENCON LIMITED,H
ADANIPOWER,EQ,ADANI POWER LTD,H
ADL,BE,ARCHIDPLY DECOR LIMITED,H
AJRINFRA,BE,AJR INFRA & TOLLING LTD,H
AKASH,EQ,AKASH INFRA-PROJECTS LTD,H
AMJUMBO,SM,A AND M JUMBO BAGS LTD,H
ANDHRACEMT,EQ,ANDHRA CEMENTS LIMITED,H
ANKITMETAL,EQ,ANKIT MET & POW LTD,H
ARCHIDPLY,EQ,ARCHIDPLY IND. LTD,H
ARCHIES,BE,ARCHIES LTD,H
ARIHANTCAP,EQ,ARIHANT CAPITAL MKTS LTD,H
ARTNIRMAN,EQ,ART NIRMAN LIMITED,H
AWL,BE,ADANI WILMAR LIMITED,H
AXISCADES,EQ,AXISCADES TECH LTD,H
BAGFILMS,BE,B.A.G FILMS AND MEDIA LTD,H
BAJAJHIND,EQ,BAJAJ HINDUSTHAN SUGAR LT,H
BARTRONICS,BZ,BARTRONICS INDIA LIMITED,H
BHANDARI,EQ,BHANDARI HOSIERY EXP LTD,H
BIGBLOC,BE,BIGBLOC CONSTRUCTION LTD,H
BKMINDST,BZ,BKM INDUSTRIES LIMITED,H
BLBLIMITED,EQ,BLB LIMITED,H
BRFL,BZ,BOMBAY RAYON FASHIONS LTD,H
BTML,SM,BODHI TREE MULTIMEDIA LTD,H
BTML-RE,ST,BODHI TREE MULTIMEDIA LTD,H
CALSOFT,EQ,CALIFORNIA SOFTWARE CO LT,H
CANDC,BZ,C&C CONST. LTD,H
CELEBRITY,EQ,CELEBRITY FASHIONS LTD,H
CHENNPETRO,EQ,CHENNAI PETROLEUM CORP LT,H
COOLCAPS,SM,COOL CAPS INDUSTRIES LTD,H
CROWN,EQ,CROWN LIFTERS LIMITED,H
CUBEXTUB,EQ,CUBEX TUBINGS LTD,H
DBREALTY,BE,D B REALTY LIMITED,H
DCMNVL,EQ,DCM NOUVELLE LIMITED,H
DCW,EQ,DCW LTD,H
DEEPENR,BE,DEEP ENE RESOURCES LTD,H
DENORA,EQ,DE NORA INDIA LIMITED,H
DESTINY,SM,DESTINY LOGISTICS & I LTD,H
DEVIT,BE,DEV INFO TECHNOLOGY LTD,H
DGCONTENT,BE,DIGICONTENT LIMITED,H
DHANI,EQ,DHANI SERVICES LIMITED,H
DIGJAMLMTD,BE,DIGJAM LTD,H
DPWIRES,EQ,D P WIRES LIMITED,H
DUCON,EQ,DUCON INFRATECHNOLOGIES L,H
EASEMYTRIP,EQ,EASY TRIP PLANNERS LTD,H
EASTSILK,EQ,EASTERN SILK INDUSTRIES L,H
EKC,EQ,EVEREST KANTO CYLINDERLTD,H
ENERGYDEV,EQ,ENERGY DEVE. CO.LTD,H
EROSMEDIA,EQ,EROS INTL MEDIA LTD,H
ESSARSHPNG,EQ,ESSAR SHIPPING LTD,H
EXCEL,BE,EXCEL REALTY N INFRA LTD,H
FCSSOFT,EQ,FCS SOFTWARE SOLN. LTD.,H
FEL,EQ,FUTURE ENTERPRISES LTD,H
FELDVR,BE,FUTURE ENTERPRISES LTD,H
FLFL,EQ,FUT LIFESTYLE FASH LTD,H
FOCUS,BE,FOCUS LIGHTG & FIXTRS LTD,H
GAL,EQ,GYSCOAL ALLOYS LTD,H
GENUSPAPER,EQ,GENUS P&B LIMITED,H
GFSTEELS,EQ,GRAND FOUNDRY LTD,H
GLOBAL,EQ,GLOBAL EDUCATION LIMITED,H
GOENKA,BZ,GOENKA DIAMOND&JEWELS LTD,H
GOKULAGRO,BE,GOKUL AGRO RESOURCES LTD,H
GOLDTECH,EQ,GOLDSTONE TECHNOLOGIES LT,H
GREENPOWER,EQ,ORIENT GREEN POWER CO LTD,H
GTLINFRA,EQ,GTL INFRA.LTD,H
HAVISHA,BE,SRI HAVISHA HOSP & INFR L,H
HDIL,BZ,HOUSING DEV & INFRA LTD,H
HECPROJECT,EQ,HEC INFRA PROJECTS LTD,H
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,H
IMPEXFERRO,EQ,IMPEX FERRO TECH LIMITED,H
INCREDIBLE,EQ,INCREDIBLE INDUSTRIES LTD,H
INDSWFTLTD,EQ,IND-SWIFT LIMITED,H
INFOMEDIA,EQ,INFOMEDIA PRESS LIMITED,H
INNOVATIVE,SM,INNOVATIVE TYRES & TUBES,H
INSPIRISYS,EQ,INSPIRISYS SOLUTIONS LTD,H
IRB,EQ,IRB INFRA DEV LTD.,H
ISMTLTD,BE,ISMT LIMITED,H
JAGSNPHARM,EQ,JAGSONPAL PHARMACEUTICALS,H
JAINAM,SM,JAINAM FER ALLOYS (I) LTD,H
JETAIRWAYS,BZ,JET AIRWAYS (INDIA) LTD.,H
JINDRILL,EQ,JINDAL DRILLING IND. LTD,H
JPINFRATEC,EQ,JAYPEE INFRATECH LTD,H
JSWENERGY,EQ,JSW ENERGY LIMITED,H
KABRAEXTRU,EQ,KABRA EXTRUSION TECHNIK L,H
KAUSHALYA,EQ,KAUSHALYA INFRA DEV LTD.,H
KOHINOOR,BE,KOHINOOR FOODS LIMITED,H
KOTYARK,SM,KOTYARK INDUSTRIES LTD,H
KRISHIVAL,SM,EMPYREAN CASHEWS LIMITED,H
KRISHNADEF,SM,KRISHNA DEF AND ALD IND L,H
LAGNAM,EQ,LAGNAM SPINTEX LIMITED,H
LCCINFOTEC,EQ,LCC INFOTECH LTD,H
LEMERITE,ST,LE MERITE EXPORTS LIMITED,H
LODHA,EQ,MACROTECH DEVELOPERS LTD,H
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,H
LYKALABS,EQ,LYKA LABS LTD,H
MADHAVBAUG,SM,VAIDYA SANE AYUR LAB LTD,H
MAGNUM,EQ,MAGNUM VENTURES LTD.,H
MANAKCOAT,EQ,MAN COAT METAL & IND LTD,H
MARATHON,EQ,MARATHON NXTGEN REALT LTD,H
MBECL,BE,MCNALLY BH. ENG. CO.LTD,H
MEP,EQ,MEP INFRA. DEVELOPERS LTD,H
MERCATOR,EQ,MERCATOR LIMITED,H
METALFORGE,BZ,METALYST FORGINGS LIMITED,H
MGEL,EQ,MANGALAM GLOBAL ENT LTD,H
MHLXMIRU,EQ,MAHALAXMI RUBTECH LIMITED,H
MIRCELECTR,EQ,MIRC ELECTRONICS LTD,H
MKPL,SM,M K PROTEINS LIMITED,H
MOKSH,EQ,MOKSH ORNAMENTS LIMITED,H
MRPL,EQ,MRPL,H
MUKTAARTS,BE,MUKTA ARTS LIMITED,H
NAHARSPING,BE,NAHAR SPINNING MILLS LTD.,H
NATNLSTEEL,BE,NATIONAL STEEL & AGRO IND,H
NAVKARCORP,EQ,NAVKAR CORPORATION LTD.,H
NECCLTD,EQ,NORTH EAST CARRY CORP LTD,H
NELCO,EQ,NELCO LTD,H
NGIL,EQ,NAKODA GROUP OF IND. LTD,H
NITCO,EQ,NITCO LIMITED,H
NKIND,EQ,NK INDUSTRIES LTD,H
NRL,SM,NUPUR RECYCLERS LIMITED,H
OBCL,EQ,ORISSA BENGAL CARRIER LTD,H
OMFURN,SM,OMFURN INDIA LIMITED,H
OMKARCHEM,EQ,OMKAR SPL CHEM LTD,H
ONELIFECAP,EQ,ONELIFE CAP ADVISORS LTD,H
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,H
PATELENG,EQ,PATEL ENGINEERING LTD.,H
PEARLPOLY,EQ,PEARL POLYMERS LTD,H
PENINLAND,BE,PENINSULA LAND LIMITED,H
PNC,BE,PRITISH NANDY COMMUNICATI,H
PRAXIS,EQ,PRAXIS HOME RETAIL LTD,H
PRECWIRE,EQ,PRECISION WIRES INDIA LTD,H
PREMEXPLN,BE,PREMIER EXPLOSIVES LTD,H
PROZONINTU,EQ,PROZONE INTU PROPRTIS LTD,H
PVP,BE,PVP VENTURES LIMITED,H
RAJRATAN,EQ,RAJRATAN GLOBAL WIRE LTD,H
RAJRILTD,BE,RAJ RAYON INDUSTRIES LTD,H
RAMASTEEL,EQ,RAMA STEEL TUBES LIMITED,H
RMCL,BZ,RADHA MADHAV CO. LTD.,H
RNAVAL,BZ,RELIANCE NAVAL & ENGG LTD,H
ROLLT,EQ,ROLLATAINERS LIMITED,H
RPOWER,EQ,RELIANCE POWER LTD.,H
RTNPOWER,EQ,RATTANINDIA POWER LIMITED,H
RUCHI,EQ,RUCHI SOYA INDUSTRIES LTD,H
RUCHINFRA,BE,RUCHI INFRASTRUCTURE LTD,H
SABEVENTS,EQ,SAB EVENTS & GOVERNANCE,H
SABTN,BE,SRI ADHIKARI BROS.,H
SANCO,EQ,SANCO INDUSTRIES LIMITED,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SARVESHWAR,SM,SARVESHWAR FOODS LIMITED,H
SATIN,EQ,SATIN CREDIT NET LTD,H
SBC,EQ,SBC EXPORTS LIMITED,H
SEAMECLTD,EQ,SEAMEC LIMITED,H
SEPOWER,EQ,S.E. POWER LIMITED,H
