MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,M&MFIN,8.72% UNSECURED NCD,      1070.00,      1070.00,      1070.00,      1070.00,      1070.00,                    64200.00,60,XI,1,      1260.00,       965.20
N,N1,UGROCAP,SEC RED NCD 10.03%,      1000.00,      1000.00,      1002.01,      1000.00,      1002.01,                   262137.20,262, ,10,      1100.00,       891.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        31.83,        31.75,        31.97,        31.75,        31.90,                   120141.62,3767, ,37,        35.90,        29.20
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1180.00,      1229.74,      1229.74,      1172.01,      1179.61,                   957473.61,813, ,15,      1284.25,      1143.00
N,N2,IIFCL,8.66% TAX FREE NCD,      1089.99,      1075.00,      1075.00,      1070.08,      1070.32,                  1284390.00,1200, ,3,      1237.00,      1064.12
N,N2,INCRED,SEC RE NCD 9.25% SR.II,       990.00,       975.00,      1000.00,       975.00,      1000.00,                    24500.00,25, ,2,      1001.10,       811.00
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1169.00,      1175.00,      1176.30,      1175.00,      1176.30,                    11759.65,10, ,6,      1289.00,      1156.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1127.00,      1045.00,      1053.15,      1045.00,      1049.43,                  2203101.45,2100,XI,39,      1170.00,      1001.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1170.96,      1172.01,      1172.01,      1160.01,      1164.70,                  3066299.29,2640, ,33,      1289.90,      1101.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1186.84,      1195.00,      1196.00,      1187.15,      1192.56,                  4635665.44,3881, ,56,      1325.00,      1175.00
N,N2,PCHFL,SEC RE NCD 8.35% SR.I,      1059.99,      1065.00,      1065.00,      1065.00,      1065.00,                    53250.00,50, ,5,      1115.02,       950.00
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1115.32,      1115.30,      1119.00,      1115.30,      1119.00,                    22343.00,20, ,2,      1249.90,      1115.30
N,N2,TATACAPHSG,SEC RED NCD 8.10% SR.I,      1032.63,      1035.00,      1035.00,      1035.00,      1035.00,                    41400.00,40, ,1,      1139.00,       950.00
N,N3,BRITANNIA,UNSEC RED NCD 5.50%,        29.54,        29.48,        29.95,        29.40,        29.63,                   137911.49,4657, ,120,        30.50,        25.15
N,N3,ERFLNCDI,SEC RED NCD 8.65% SR. III,       990.00,      1049.00,      1059.00,       951.00,       995.55,                    53136.65,53, ,4,      1059.00,       826.04
N,N3,RECLTD,BOND 6.88% PA TAX FREE S1,      1599.00,      1500.00,      1500.00,      1500.00,      1500.00,                    10500.00,7, ,1,      1788.00,      1351.21
N,N4,ERFLNCDI,SEC RED NCD 9.00% SR. IV,       995.00,       995.00,       995.00,       995.00,       995.00,                   133330.00,134, ,2,      1085.00,       901.00
N,N4,HUDCO,7.34 NCD 16FEB23 TR1 SR1,      1035.00,      1035.00,      1035.00,      1035.00,      1035.00,                    94185.00,91, ,14,      1106.00,      1016.10
N,N4,IIFCL,8.91% TAX FREE NCD,      1340.00,      1340.00,      1340.10,      1340.00,      1340.10,                   617743.00,461, ,9,      1475.60,      1304.00
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1021.22,      1011.05,      1029.00,      1010.00,      1024.07,                  1799861.71,1773,XI,35,      1045.00,       990.00
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1130.00,      1169.95,      1170.00,      1169.95,      1170.00,                     2339.95,2, ,2,      1246.00,      1125.10
N,N4,NTPC,8.66%S-R-NCD SERIES 1B,      1095.10,      1089.55,      1091.49,      1089.55,      1091.49,                    28330.24,26, ,2,      1298.00,      1065.11
N,N4,PCHFL,SEC RE NCD SR.II,      1050.00,      1055.00,      1055.00,      1055.00,      1055.00,                   105500.00,100, ,1,      1180.00,       977.00
N,N5,EHFLNCD,SEC RED NCD 9.57% SR. V,       996.00,       999.00,       999.00,       989.91,       989.91,                     2978.82,3, ,2,      1100.00,       795.00
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       890.00,       893.00,       895.00,       891.00,       894.32,                   168172.00,188, ,4,       940.00,       801.05
N,N5,IIFL,SEC RED NCD 10.20 % SR.IV,      1026.00,      1025.25,      1025.25,      1025.25,      1025.25,                   102525.00,100, ,4,      1199.00,       991.00
N,N5,IIHFL,UNSEC RE NCD 9.60% SR.II,       982.80,       980.00,       984.10,       980.00,       980.52,                   185455.01,189, ,28,      1000.00,       800.00
N,N5,NHBTF2014,BOND 8.88%PA TF TR-I S 2B,      6015.00,      5937.00,      6111.00,      5937.00,      6111.00,                   362331.00,61, ,2,      6700.00,      5915.00
N,N5,PFC,8.30% TAX FREE NCD,      1180.00,      1180.00,      1180.00,      1180.00,      1180.00,                   236000.00,200, ,1,      1270.00,      1160.00
N,N6,DHANILOANS,DHANI LOANS & SERV LTD,       995.00,       995.00,       995.00,       993.00,       994.25,                    20883.00,21, ,3,      1087.00,       900.96
N,N6,EHFLNCD,SEC RED NCD 10% SR. VI,      1025.00,      1026.00,      1028.00,      1025.00,      1028.00,                    38993.96,38, ,4,      1100.00,       822.40
