MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        33.25,        34.25,        34.39,        33.25,        34.29,                   177501.76,5245,115,       415.21,        29.00,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        38.95,        40.25,        40.25,        39.00,        39.49,                   123301.12,3129,50,       520.00,        34.00,NIFTY NEXT 50 ETF
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       106.82,       108.48,       111.01,       107.00,       109.24,                  2410149.67,21980,216,       120.75,        92.01,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       333.68,       337.98,       344.21,       336.91,       344.16,                    62336.50,183,35,       449.40,       323.12,NIFTY BANK INDEX
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        10.25,        10.36,        10.36,        10.22,        10.34,                    70214.55,6793,710,        12.00,         9.06,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISCETF,AXISAMC - AXISCETF,        66.36,        66.40,        68.43,        66.40,        68.25,                    65045.38,978,17,        81.00,        60.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        43.59,        43.95,        44.25,        43.63,        44.09,                 21459378.13,485870,998,        48.50,        36.10,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,        79.09,        78.25,        80.95,        78.25,        79.47,                    84379.84,1057,113,       105.00,        66.00,NIFTY HEALTHCARE INDEX
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       168.06,       170.00,       172.09,       169.00,       171.84,                   409393.76,2397,142,       212.22,       152.56,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       291.17,       299.90,       299.90,       285.05,       292.13,                  1608331.22,5543,158,       437.10,       253.30,NIFTY IT INDEX
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       336.42,       337.10,       346.00,       337.10,       345.28,                249824661.37,727852,11199,       434.88,       324.08,NIFTY BANK
