,Scheme Code,Scheme Name,Net Asset Value,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Date,Repurchase Price,Sale Price
2,106270,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-3 YRS- DIVIDEND,10.5546,,,21-Jan-2009,10.5546,0.0
3,106269,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-3 YRS- GROWTH,10.5546,,,21-Jan-2009,10.5546,0.0
4,106271,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-5 YRS-DIVIDEND,10.6072,,,21-Jan-2009,10.6072,0.0
5,106272,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-5 YRS-GROWTH,10.6072,,,21-Jan-2009,10.6072,0.0
6,102754,Birla Sun Life Fixed Maturity Plan - Annual Series 1-Dividend,10.1684,,,21-Jan-2009,9.965,10.1684
7,102755,Birla Sun Life Fixed Maturity Plan - Annual Series 1-Growth,10.3795,,,21-Jan-2009,10.1719,10.3795
8,100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,21.0861,INF209K01694,,21-Jan-2009,20.9596,21.0861
9,100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,10.5002,INF209K01702,,21-Jan-2009,10.4372,10.5002
10,100972,Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment,21.0861,INF209K01710,,21-Jan-2009,20.9596,21.0861
11,101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,15.0693,INF209K01728,,21-Jan-2009,15.0693,15.0693
12,101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,11.1547,INF209K01736,INF209K01DE3,21-Jan-2009,11.1547,11.1547
13,101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,15.0693,INF209K01744,,21-Jan-2009,15.0693,15.0693
14,103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,10.3585,INF209K01AX9,INF209K01DX3,21-Jan-2009,10.2549,10.3585
15,103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,28.2766,INF209K01AZ4,,21-Jan-2009,27.9938,28.2766
16,103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,10.4776,INF209K01AY7,INF209K01DY1,21-Jan-2009,10.3728,10.4776
18,102670,BARODA PIONEER CHILDREN FUND-GIFT PLAN,10.7443,,,21-Jan-2009,10.6369,10.7443
20,110147,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Dividend Option,10.1236,INF760K01BG4,,21-Jan-2009,10.1236,0.0
21,110146,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Growth Option,10.2865,INF760K01BH2,,21-Jan-2009,10.2865,0.0
22,110148,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Dividend Option,10.075,INF760K01BI0,,21-Jan-2009,10.075,0.0
23,110145,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Growth Option,10.3393,INF760K01BJ8,,21-Jan-2009,10.3393,0.0
24,109931,Canara Robeco Interval Scheme- Series2 (Quarterly Plan1)- Institutional Plan- Dividend Option,10.1441,,,21-Jan-2009,10.1441,0.0
25,109930,Canara Robeco Interval Scheme- Series2 (Quarterly Plan1)- Institutional Plan- Growth Option,10.293,,,21-Jan-2009,10.293,0.0
26,109933,Canara Robeco Interval Scheme- Series2 (Quarterly Plan1)- Retail Plan- Dividend Option,10.1392,,,21-Jan-2009,10.1392,0.0
27,109932,Canara Robeco Interval Scheme- Series2 (Quarterly Plan1)- Retail Plan- Growth Option,10.4297,,,21-Jan-2009,10.4297,0.0
29,100576,DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan,13.9334,,,21-Jan-2009,13.9334,13.9334
30,105738,DBS Chola Freedom Income -Short Term Fund-Daily Dividend Re-investment Plan,10.1552,,,21-Jan-2009,10.1552,10.1552
31,100575,DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative,13.7468,,,21-Jan-2009,13.7468,13.7468
